Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Date_parsed,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,geopoint,prediction
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,4/02/2016,2016-02-04T00:00:00.000000Z,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,POINT(144.9934 -37.8079),975255.257797
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,4/03/2017,2017-03-04T00:00:00.000000Z,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,POINT(144.9944 -37.8093),1495070.06428
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/06/2016,2016-06-04T00:00:00.000000Z,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,POINT(144.9941 -37.8072),1429782.11313
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7/05/2016,2016-05-07T00:00:00.000000Z,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,POINT(144.9993 -37.8024),2015845.4836
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,8/10/2016,2016-10-08T00:00:00.000000Z,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,POINT(144.9954 -37.806),1324939.57524
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8/10/2016,2016-10-08T00:00:00.000000Z,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,POINT(144.9989 -37.801),1056853.77913
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12/11/2016,2016-11-12T00:00:00.000000Z,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,POINT(144.9964 -37.8085),1506041.00852
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12/11/2016,2016-11-12T00:00:00.000000Z,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,POINT(144.9965 -37.8078),722397.371719
Abbotsford,16 William St,2,h,1310000,S,Jellis,15/10/2016,2016-10-15T00:00:00.000000Z,2.5,3067,2,1,2,238,97,1890,Yarra,-37.809,144.9976,POINT(144.9976 -37.809),1271565.09634
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16/07/2016,2016-07-16T00:00:00.000000Z,2.5,3067,3,2,1,113,110,1880,Yarra,-37.8056,144.993,POINT(144.993 -37.8056),1250352.27852
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16/07/2016,2016-07-16T00:00:00.000000Z,2.5,3067,2,1,1,138,105,1890,Yarra,-37.8021,144.9965,POINT(144.9965 -37.8021),1209072.14993
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17/09/2016,2016-09-17T00:00:00.000000Z,2.5,3067,2,1,1,150,73,1985,Yarra,-37.8011,145.0004,POINT(145.0004 -37.8011),943044.315105
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,18/03/2017,2017-03-18T00:00:00.000000Z,2.5,3067,4,2,2,780,135,1900,Yarra,-37.8073,144.9952,POINT(144.9952 -37.8073),1899772.86447
Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,18/03/2017,2017-03-18T00:00:00.000000Z,2.5,3067,3,2,2,0,,2010,Yarra,-37.8093,144.9959,POINT(144.9959 -37.8093),1086647.44691
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,18/06/2016,2016-06-18T00:00:00.000000Z,2.5,3067,2,1,1,0,60,1970,Yarra,-37.8015,144.9972,POINT(144.9972 -37.8015),543699.965999
Abbotsford,52a William St,2,h,1100000,PI,Biggin,18/06/2016,2016-06-18T00:00:00.000000Z,2.5,3067,2,2,1,124,135,2013,Yarra,-37.8079,144.9977,POINT(144.9977 -37.8079),1054369.76785
Abbotsford,49 Park St,2,h,1315000,S,Marshall,19/11/2016,2016-11-19T00:00:00.000000Z,2.5,3067,2,1,0,147,85,1900,Yarra,-37.808,144.994,POINT(144.994 -37.808),1082783.99915
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,22/08/2016,2016-08-22T00:00:00.000000Z,2.5,3067,3,3,1,166,174,2012,Yarra,-37.8017,145.0001,POINT(145.0001 -37.8017),1487536.57082
Abbotsford,159 Park St,2,h,1135000,S,Nelson,22/08/2016,2016-08-22T00:00:00.000000Z,2.5,3067,2,2,2,98,128,1920,Yarra,-37.8005,144.9952,POINT(144.9952 -37.8005),1231580.06245
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25/02/2017,2017-02-25T00:00:00.000000Z,2.5,3067,3,1,1,168,124,1950,Yarra,-37.8007,144.9958,POINT(144.9958 -37.8007),1336999.47981
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,26/07/2016,2016-07-26T00:00:00.000000Z,2.5,3067,1,1,1,0,50,2013,Yarra,-37.8055,144.9961,POINT(144.9961 -37.8055),447106.162481
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27/11/2016,2016-11-27T00:00:00.000000Z,2.5,3067,2,1,0,162,91,1900,Yarra,-37.8016,144.9956,POINT(144.9956 -37.8016),1246306.71914
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27/11/2016,2016-11-27T00:00:00.000000Z,2.5,3067,3,2,1,120,128,1998,Yarra,-37.8022,144.9954,POINT(144.9954 -37.8022),1250984.82766
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28/05/2016,2016-05-28T00:00:00.000000Z,2.5,3067,2,1,0,182,82,1900,Yarra,-37.8021,144.9976,POINT(144.9976 -37.8021),991264.778986
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30/07/2016,2016-07-30T00:00:00.000000Z,2.5,3067,2,1,1,172,81,1930,Yarra,-37.8086,144.9946,POINT(144.9946 -37.8086),990034.80765
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,3/09/2016,2016-09-03T00:00:00.000000Z,13.5,3042,3,2,1,303,225,2016,Moonee Valley,-37.718,144.878,POINT(144.878 -37.718),898080.321267
Airport West,50 Bedford St,3,h,730000,VB,Nelson,3/12/2016,2016-12-03T00:00:00.000000Z,13.5,3042,3,2,1,0,145,1965,Moonee Valley,-37.7203,144.8755,POINT(144.8755 -37.7203),676617.730602
Airport West,50 Bedford St,3,h,770000,SP,Nelson,4/03/2017,2017-03-04T00:00:00.000000Z,13.5,3042,3,2,1,0,145,1965,Moonee Valley,-37.7203,144.8755,POINT(144.8755 -37.7203),678403.386635
Airport West,23 Hart St,2,h,603000,S,Nelson,4/03/2017,2017-03-04T00:00:00.000000Z,13.5,3042,2,1,1,272,84,1950,Moonee Valley,-37.7294,144.888,POINT(144.888 -37.7294),641269.463202
Airport West,1/80 Hawker St,3,t,700000,S,Brad,4/03/2017,2017-03-04T00:00:00.000000Z,13.5,3042,3,2,2,239,134,2009,Moonee Valley,-37.7218,144.8837,POINT(144.8837 -37.7218),677970.823852
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,4/03/2017,2017-03-04T00:00:00.000000Z,13.5,3042,2,1,1,290,116,1980,Moonee Valley,-37.7273,144.8744,POINT(144.8744 -37.7273),650789.056275
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,4/03/2017,2017-03-04T00:00:00.000000Z,13.5,3042,2,1,1,168,86,2011,Moonee Valley,-37.7215,144.8864,POINT(144.8864 -37.7215),470282.478067
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,7/05/2016,2016-05-07T00:00:00.000000Z,13.5,3042,6,3,2,976,186,1980,Moonee Valley,-37.7239,144.8735,POINT(144.8735 -37.7239),957211.554697
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,7/05/2016,2016-05-07T00:00:00.000000Z,13.5,3042,2,1,1,110,90,2015,Moonee Valley,-37.7216,144.871,POINT(144.871 -37.7216),478048.684132
Airport West,3/19 Hart St,2,u,515000,S,Barry,7/11/2016,2016-11-07T00:00:00.000000Z,13.5,3042,2,1,1,141,73,2013,Moonee Valley,-37.7298,144.8883,POINT(144.8883 -37.7298),452937.825519
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,10/09/2016,2016-09-10T00:00:00.000000Z,13.5,3042,2,1,1,120,94,2012,Moonee Valley,-37.7234,144.8792,POINT(144.8792 -37.7234),479482.114576
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,10/09/2016,2016-09-10T00:00:00.000000Z,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,-37.7249,144.8728,POINT(144.8728 -37.7249),905575.805043
Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/2016,2016-12-10T00:00:00.000000Z,13.5,3042,3,1,1,0,105,1950,Moonee Valley,-37.7217,144.8783,POINT(144.8783 -37.7217),668144.254952
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,11/02/2017,2017-02-11T00:00:00.000000Z,13.5,3042,3,1,1,265,130,1993,Moonee Valley,-37.7302,144.8855,POINT(144.8855 -37.7302),588900.305201
Airport West,2/40 Earl St,3,t,700000,PI,Brad,15/10/2016,2016-10-15T00:00:00.000000Z,13.5,3042,3,2,2,165,133,2009,Moonee Valley,-37.727,144.887,POINT(144.887 -37.727),660926.639665
Airport West,180 Parer Rd,3,h,830000,S,Barry,16/04/2016,2016-04-16T00:00:00.000000Z,13.5,3042,3,1,2,971,113,1960,Moonee Valley,-37.7186,144.876,POINT(144.876 -37.7186),844746.155306
Airport West,4/54 Hawker St,2,u,462500,S,Barry,16/07/2016,2016-07-16T00:00:00.000000Z,13.5,3042,2,1,1,164,,2003,Moonee Valley,-37.7218,144.8863,POINT(144.8863 -37.7218),470969.368491
Airport West,174 Parer Rd,2,h,675000,S,Barry,16/07/2016,2016-07-16T00:00:00.000000Z,13.5,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.8765,POINT(144.8765 -37.7187),618428.601791
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,16/07/2016,2016-07-16T00:00:00.000000Z,13.5,3042,3,2,5,612,174,1950,Moonee Valley,-37.7173,144.8796,POINT(144.8796 -37.7173),863213.842395
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17/09/2016,2016-09-17T00:00:00.000000Z,13.5,3042,5,3,4,531,309,1980,Moonee Valley,-37.7263,144.8679,POINT(144.8679 -37.7263),1071169.61795
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,18/03/2017,2017-03-18T00:00:00.000000Z,13.5,3042,3,3,2,555,192,1980,Moonee Valley,-37.7285,144.8694,POINT(144.8694 -37.7285),822687.526391
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,18/03/2017,2017-03-18T00:00:00.000000Z,13.5,3042,3,2,2,422,126,1995,Moonee Valley,-37.7164,144.8792,POINT(144.8792 -37.7164),697631.603742
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,18/06/2016,2016-06-18T00:00:00.000000Z,13.5,3042,2,2,1,161,101,2010,Moonee Valley,-37.7231,144.8802,POINT(144.8802 -37.7231),631127.783881
Airport West,37 North St,3,t,825000,SP,Barry,19/11/2016,2016-11-19T00:00:00.000000Z,13.5,3042,3,2,1,293,102,1960,Moonee Valley,-37.72,144.8776,POINT(144.8776 -37.72),687171.963896
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,22/05/2016,2016-05-22T00:00:00.000000Z,13.5,3042,3,1,1,579,113,1975,Moonee Valley,-37.7226,144.8733,POINT(144.8733 -37.7226),658698.552257
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,27/11/2016,2016-11-27T00:00:00.000000Z,13.5,3042,4,2,3,628,146,1975,Moonee Valley,-37.7256,144.8739,POINT(144.8739 -37.7256),807889.91542
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,3/09/2016,2016-09-03T00:00:00.000000Z,3.3,3206,2,1,0,120,82,1900,Port Phillip,-37.8459,144.9555,POINT(144.9555 -37.8459),1222224.76727
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,4/03/2017,2017-03-04T00:00:00.000000Z,3.3,3206,3,2,0,211,198,1890,Port Phillip,-37.8481,144.9499,POINT(144.9499 -37.8481),2098369.80137
Albert Park,94 Graham St,3,h,1850000,S,Greg,4/03/2017,2017-03-04T00:00:00.000000Z,3.3,3206,3,2,0,128,133,1890,Port Phillip,-37.8452,144.9488,POINT(144.9488 -37.8452),1745240.43861
Albert Park,396 Montague St,2,h,1436000,S,RT,4/03/2017,2017-03-04T00:00:00.000000Z,3.3,3206,2,1,0,130,81,1900,Port Phillip,-37.8431,144.9565,POINT(144.9565 -37.8431),1344283.8984
Albert Park,75 Graham St,2,h,1110000,S,Marshall,6/08/2016,2016-08-06T00:00:00.000000Z,3.3,3206,1,1,0,147,,1900,Port Phillip,-37.8444,144.9484,POINT(144.9484 -37.8444),1451410.10274
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,7/05/2016,2016-05-07T00:00:00.000000Z,3.3,3206,4,2,1,153,180,1880,Port Phillip,-37.8447,144.9523,POINT(144.9523 -37.8447),2039070.7325
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,7/11/2016,2016-11-07T00:00:00.000000Z,3.3,3206,3,2,1,132,159,1996,Port Phillip,-37.8415,144.952,POINT(144.952 -37.8415),1590312.05845
Albert Park,29 Faussett St,2,h,2120000,S,Greg,10/09/2016,2016-09-10T00:00:00.000000Z,3.3,3206,2,1,1,199,107,1900,Port Phillip,-37.8422,144.9554,POINT(144.9554 -37.8422),1504813.2423
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,10/09/2016,2016-09-10T00:00:00.000000Z,3.3,3206,3,2,1,90,122,1900,Port Phillip,-37.8421,144.9571,POINT(144.9571 -37.8421),1627827.72838
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,10/12/2016,2016-12-10T00:00:00.000000Z,3.3,3206,3,2,1,177,181,1880,Port Phillip,-37.8415,144.9585,POINT(144.9585 -37.8415),2065583.90859
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,12/06/2016,2016-06-12T00:00:00.000000Z,3.3,3206,3,2,2,0,85,2000,Port Phillip,-37.8451,144.9511,POINT(144.9511 -37.8451),1331943.23061
Albert Park,65 Graham St,2,h,1322500,S,Greg,15/10/2016,2016-10-15T00:00:00.000000Z,3.3,3206,2,1,0,149,98,1890,Port Phillip,-37.8443,144.9481,POINT(144.9481 -37.8443),1429345.6061
Albert Park,364 Montague St,2,h,1562500,S,Greg,15/10/2016,2016-10-15T00:00:00.000000Z,3.3,3206,2,1,0,141,83,1890,Port Phillip,-37.8424,144.9562,POINT(144.9562 -37.8424),1399298.74011
Albert Park,86 Mills St,3,h,2000000,VB,RT,16/04/2016,2016-04-16T00:00:00.000000Z,3.3,3206,3,2,1,211,147,1900,Port Phillip,-37.847,144.9575,POINT(144.9575 -37.847),1919617.60183
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,18/03/2017,2017-03-18T00:00:00.000000Z,3.3,3206,3,1,0,209,,1900,Port Phillip,-37.8468,144.9546,POINT(144.9546 -37.8468),1891975.69379
Albert Park,97 Page St,3,h,3010000,S,Greg,18/03/2017,2017-03-18T00:00:00.000000Z,3.3,3206,3,2,0,147,146,1890,Port Phillip,-37.8473,144.9551,POINT(144.9551 -37.8473),1808551.63738
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,18/06/2016,2016-06-18T00:00:00.000000Z,3.3,3206,4,3,1,327,254,1910,Port Phillip,-37.8467,144.9475,POINT(144.9475 -37.8467),2548217.53389
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,23/04/2016,2016-04-23T00:00:00.000000Z,3.3,3206,2,1,1,120,123,1900,Port Phillip,-37.8427,144.9546,POINT(144.9546 -37.8427),1582939.90129
Albert Park,49 Page St,3,h,2000000,PI,Marshall,24/09/2016,2016-09-24T00:00:00.000000Z,3.3,3206,3,1,1,238,131,1890,Port Phillip,-37.8461,144.9528,POINT(144.9528 -37.8461),1967002.19811
Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,25/02/2017,2017-02-25T00:00:00.000000Z,3.3,3206,1,1,0,0,34,1970,Port Phillip,-37.8421,144.9517,POINT(144.9517 -37.8421),372167.44517
Albert Park,115 Page St,4,h,4735000,S,Marshall,25/02/2017,2017-02-25T00:00:00.000000Z,3.3,3206,4,2,1,330,207,1910,Port Phillip,-37.8477,144.9558,POINT(144.9558 -37.8477),2305874.0396
Albert Park,27 Barrett St,4,h,2140000,S,Greg,27/06/2016,2016-06-27T00:00:00.000000Z,3.3,3206,3,2,1,183,145,1880,Port Phillip,-37.8434,144.9495,POINT(144.9495 -37.8434),1870964.7618
Albert Park,6 Brooke St,2,h,980000,S,Greg,28/05/2016,2016-05-28T00:00:00.000000Z,3.3,3206,2,1,0,79,68,1890,Port Phillip,-37.8387,144.9519,POINT(144.9519 -37.8387),1096188.83839
Albert Park,17 Reed St,3,h,1740000,PI,Marshall,28/08/2016,2016-08-28T00:00:00.000000Z,3.3,3206,3,2,2,147,134,1890,Port Phillip,-37.8448,144.9453,POINT(144.9453 -37.8448),1701664.10674
Albert Park,9 Durham St,1,h,985000,S,Marshall,30/07/2016,2016-07-30T00:00:00.000000Z,3.3,3206,1,1,0,81,54,1900,Port Phillip,-37.8411,144.9497,POINT(144.9497 -37.8411),1131159.81844
Alphington,6 Smith St,4,h,2000000,S,Brace,3/09/2016,2016-09-03T00:00:00.000000Z,6.4,3078,3,2,4,853,263,1930,Darebin,-37.7707,145.0318,POINT(145.0318 -37.7707),2088974.14311
Alphington,5/6 Yarralea St,3,h,1110000,S,Jellis,3/09/2016,2016-09-03T00:00:00.000000Z,6.4,3078,3,2,2,208,,2013,Yarra,-37.7854,145.0325,POINT(145.0325 -37.7854),1126413.4349
Alphington,44 Shiers St,4,h,1717500,S,Collins,8/10/2016,2016-10-08T00:00:00.000000Z,6.4,3078,4,2,1,599,203,1925,Darebin,-37.7717,145.031,POINT(145.031 -37.7717),1865776.25123
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,12/06/2016,2016-06-12T00:00:00.000000Z,6.4,3078,5,4,4,809,165,1910,Darebin,-37.775,145.0268,POINT(145.0268 -37.775),2138032.22342
Alphington,3/19 Harker St,2,u,525500,S,Miles,12/11/2016,2016-11-12T00:00:00.000000Z,6.4,3078,2,1,1,88,60,1960,Darebin,-37.7791,145.0306,POINT(145.0306 -37.7791),507473.517409
Alphington,4/2 Miller St,2,t,805000,S,Miles,12/11/2016,2016-11-12T00:00:00.000000Z,6.4,3078,2,2,3,155,140,2004,Darebin,-37.7804,145.0308,POINT(145.0308 -37.7804),908601.103204
Alphington,10 Bennett St,4,h,1830000,S,Nelson,19/11/2016,2016-11-19T00:00:00.000000Z,6.4,3078,4,2,2,606,112,1970,Darebin,-37.7743,145.0316,POINT(145.0316 -37.7743),1496692.75359
Alphington,38 Bennett St,4,h,2100000,S,Nelson,19/11/2016,2016-11-19T00:00:00.000000Z,6.4,3078,4,2,2,575,271,2008,Darebin,-37.7723,145.0319,POINT(145.0319 -37.7723),1926888.4524
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,22/05/2016,2016-05-22T00:00:00.000000Z,6.4,3078,3,1,1,180,131,2010,Darebin,-37.7802,145.0243,POINT(145.0243 -37.7802),986229.992493
Alphington,5/5 Yarana Rd,2,u,390000,VB,Nelson,22/05/2016,2016-05-22T00:00:00.000000Z,6.4,3078,2,1,1,0,60,1960,Darebin,-37.7773,145.0314,POINT(145.0314 -37.7773),469162.450014
Alphington,1/14 Fulham Rd,2,u,512000,S,Love,25/02/2017,2017-02-25T00:00:00.000000Z,6.4,3078,2,1,1,0,61,1965,Darebin,-37.7805,145.0262,POINT(145.0262 -37.7805),504052.49257
Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,27/11/2016,2016-11-27T00:00:00.000000Z,6.4,3078,4,2,2,556,272,1930,Yarra,-37.7844,145.0225,POINT(145.0225 -37.7844),1912589.50733
Alphington,42 Shiers St,4,h,1950000,S,Jellis,30/07/2016,2016-07-30T00:00:00.000000Z,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.0309,POINT(145.0309 -37.7719),1978848.09244
Altona,158 Queen St,3,h,520000,VB,Greg,3/09/2016,2016-09-03T00:00:00.000000Z,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,-37.87,144.825,POINT(144.825 -37.87),951231.511486
Altona,59 Bracken Gr,5,h,1525000,S,Greg,3/12/2016,2016-12-03T00:00:00.000000Z,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,-37.8721,144.8105,POINT(144.8105 -37.8721),1417407.30022
Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,4/02/2016,2016-02-04T00:00:00.000000Z,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,-37.8687,144.8197,POINT(144.8197 -37.8687),704859.211262
Altona,4 Blyth St,3,h,1120000,S,Barlow,4/03/2017,2017-03-04T00:00:00.000000Z,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,-37.8693,144.8375,POINT(144.8375 -37.8693),794083.193489
